NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.0508586,560.5381651,558.0254716,555.5127781,553.0000847,550.4873912,547.9746977,545.4620043,542.9493108,540.4366173,537.9239238,535.4112304,532.8985369,530.3858434,527.8731499,525.3604565,522.847763,520.3350695,517.8223761,515.3096826,512.7969891,510.2842956,507.7716022,505.2589087,502.7462152,500.2335217,497.7208283,495.2081348,492.6954413,490.1827478,487.6700544,485.1573609,482.6446674,480.131974,477.6192805,475.106587,472.5938935,470.0812001,467.5685066,465.0558131,462.5431196,460.0304262,457.5177327
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565.6249021,564.8563381,563.9612629,562.1907756,559.4217539,556.6527322,553.8837105,551.1513072,548.6386137,546.1259202,543.6132267,541.1005333,538.5878398,536.0751463,533.5624528,531.0497594,528.5370659,526.0243724,523.511679,520.9989855,518.486292,515.9735985,513.4609051,510.9482116,508.4355181,505.9228246,503.4101312,500.8974377,498.3847442,495.8720508,493.3593573,490.8466638,488.3339703,485.8212769,483.3085834,480.7958899,478.2831964,475.770503,473.2578095,470.745116,468.2324226,465.7197291,463.2070356,460.6943421,458.1816487,455.6689552
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568.2200257,567.4514616,566.6828976,565.9143335,565.1457695,564.2326212,563.2110349,561.4405476,558.6715259,555.9025042,553.1334825,550.3644609,547.5954392,544.8264175,542.0573958,539.2883741,536.7390623,534.2263688,531.7136753,529.2009819,526.6882884,524.1755949,521.6629014,519.150208,516.6375145,514.124821,511.6121276,509.0994341,506.5867406,504.0740471,501.5613537,499.0486602,496.5359667,494.0232732,491.5105798,488.9978863,486.4851928,483.9724993,481.4598059,478.9471124,476.4344189,473.9217255,471.409032,468.8963385,466.383645,463.8709516,461.3582581,458.8455646,456.3328711,453.8201777
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570.8151493,570.0465852,569.2780212,568.5094571,567.740893,566.972329,566.2037649,565.4352009,564.5039796,563.4823932,562.4608069,560.6903196,557.921298,555.1522763,552.3832546,549.6142329,546.8452112,544.0761895,541.3071678,538.5381461,535.7691244,533.0001027,530.231081,527.4620593,524.8395109,522.3268174,519.8141239,517.3014305,514.788737,512.2760435,509.76335,507.2506566,504.7379631,502.2252696,499.7125761,497.1998827,494.6871892,492.1744957,489.6618023,487.1491088,484.6364153,482.1237218,479.6110284,477.0983349,474.5856414,472.0729479,469.5602545,467.047561,464.5348675,462.022174,459.5094806,456.9967871,454.4840936,451.9714002
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.6417088,571.8731447,571.1045807,570.3360166,569.5674526,568.7988885,568.0303245,567.2617604,566.4931963,565.7246323,564.775338,563.7537516,562.7321653,561.7105789,559.9400917,557.17107,554.4020483,551.6330266,548.8640049,546.0949832,543.3259615,540.5569398,537.7879181,535.0188964,532.2498747,529.480853,526.7118313,523.9428096,521.1737879,518.4047662,515.6357445,512.9399595,510.427266,507.9145725,505.401879,502.8891856,500.3764921,497.8637986,495.3511052,492.8384117,490.3257182,487.8130247,485.3003313,482.7876378,480.2749443,477.7622508,475.2495574,472.7368639,470.2241704,467.711477,465.1987835,462.68609,460.1733965,457.6607031,455.1480096,452.6353161,450.1226226
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.2368324,574.4682683,573.6997043,572.9311402,572.1625761,571.3940121,570.625448,569.856884,569.0883199,568.3197559,567.5511918,566.7826277,566.0140637,565.0466964,564.02511,563.0035236,561.9819373,560.9603509,559.1898637,556.420842,553.6518203,550.8827986,548.1137769,545.3447552,542.5757335,539.8067118,537.0376901,534.2686684,531.4996467,528.730625,525.9616033,523.1925816,520.4235599,517.6545382,514.8855165,512.1164948,509.3474731,506.5784514,503.8094298,501.0404081,498.5277146,496.0150211,493.5023276,490.9896342,488.4769407,485.9642472,483.4515537,480.9388603,478.4261668,475.9134733,473.4007799,470.8880864,468.3753929,465.8626994,463.350006,460.8373125,458.324619,455.8119255,453.2992321,450.7865386,448.2738451
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.0633919,576.2948278,575.5262638,574.7576997,573.9891357,573.2205716,572.4520075,571.6834435,570.9148794,570.1463154,569.3777513,568.6091873,567.8406232,567.0720592,566.3034951,565.3180548,564.2964684,563.274882,562.2532956,561.2317093,560.2101229,558.4396357,555.670614,552.9015923,550.1325706,547.3635489,544.5945272,541.8255055,539.0564838,536.2874621,533.5184404,530.7494187,527.980397,525.2113753,522.4423536,519.6733319,516.9043102,514.1352885,511.3662669,508.5972452,505.8282235,503.0592018,500.2901801,497.5211584,494.7521367,491.983115,489.2140933,486.6281632,484.1154697,481.6027762,479.0900828,476.5773893,474.0646958,471.5520023,469.0393089,466.5266154,464.0139219,461.5012284,458.988535,456.4758415,453.963148,451.4504546,448.9377611,446.4250676
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.6585155,578.8899514,578.1213873,577.3528233,576.5842592,575.8156952,575.0471311,574.2785671,573.510003,572.741439,571.9728749,571.2043108,570.4357468,569.6671827,568.8986187,568.1300546,567.3614906,566.5929265,565.5894132,564.5678268,563.5462404,562.524654,561.5030677,560.4814813,559.4598949,557.6894077,554.920386,552.1513643,549.3823426,546.6133209,543.8442992,541.0752775,538.3062558,535.5372341,532.7682124,529.9991907,527.230169,524.4611473,521.6921256,518.9231039,516.1540823,513.3850606,510.6160389,507.8470172,505.0779955,502.3089738,499.5399521,496.7709304,494.0019087,491.232887,488.4638653,485.6948436,482.9258219,480.1568002,477.3877785,474.7286118,472.2159183,469.7032248,467.1905314,464.6778379,462.1651444,459.6524509,457.1397575,454.627064,452.1143705,449.601677,447.0889836,444.5762901
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581.485075,580.7165109,579.9479469,579.1793828,578.4108188,577.6422547,576.8736906,576.1051266,575.3365625,574.5679985,573.7994344,573.0308704,572.2623063,571.4937422,570.7251782,569.9566141,569.1880501,568.419486,567.650922,566.8823579,565.8607715,564.8391852,563.8175988,562.7960124,561.774426,560.7528397,559.7312533,558.7096669,556.9391797,554.170158,551.4011363,548.6321146,545.8630929,543.0940712,540.3250495,537.5560278,534.7870061,532.0179844,529.2489627,526.479941,523.7109193,520.9418977,518.172876,515.4038543,512.6348326,509.8658109,507.0967892,504.3277675,501.5587458,498.7897241,496.0207024,493.2516807,490.482659,487.7136373,484.9446156,482.1755939,479.4065722,476.6375505,473.8685288,471.0995071,468.3304854,465.5614637,462.8290604,460.3163669,457.8036734,455.2909799,452.7782865,450.265593,447.7528995,445.2402061,442.7275126
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584.0801986,583.3116345,582.5430704,581.7745064,581.0059423,580.2373783,579.4688142,578.7002502,577.9316861,577.163122,576.394558,575.6259939,574.8574299,574.0888658,573.3203018,572.5517377,571.7831737,571.0146096,570.2460455,569.4774815,568.7089174,567.9403534,567.1537163,566.1321299,565.1105435,564.0889572,563.0673708,562.0457844,561.0241981,560.0026117,558.9810253,557.9594389,556.1889517,553.41993,550.6509083,547.8818866,545.1128649,542.3438432,539.5748215,536.8057998,534.0367781,531.2677564,528.4987348,525.7297131,522.9606914,520.1916697,517.422648,514.6536263,511.8846046,509.1155829,506.3465612,503.5775395,500.8085178,498.0394961,495.2704744,492.5014527,489.732431,486.9634093,484.1943876,481.4253659,478.6563442,475.8873225,473.1183008,470.3492791,467.5802574,464.8112358,462.0422141,459.2731924,456.5041707,453.735149,450.9661273,448.4168155,445.904122,443.3914285,440.8787351
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.994156,585.2255919,584.4570279,583.6884638,582.9198997,582.1513357,581.3827716,580.6142076,579.8456435,579.0770795,578.3085154,577.5399513,576.7713873,576.0028232,575.2342592,574.4656951,573.6971311,572.928567,572.1600029,571.3914389,570.6228748,569.8543108,569.0857467,568.3171827,567.501413,566.4034883,565.3819019,564.3603156,563.3387292,562.3171428,561.2955564,560.2739701,559.2523837,558.2307973,557.2092109,555.4387237,552.669702,549.9006803,547.1316586,544.3626369,541.5936152,538.8245935,536.0555718,533.2865502,530.5175285,527.7485068,524.9794851,522.2104634,519.4414417,516.67242,513.9033983,511.1343766,508.3653549,505.5963332,502.8273115,500.0582898,497.2892681,494.5202464,491.7512247,488.982203,486.2131813,483.4441596,480.6751379,477.9061162,475.1370945,472.3680728,469.5990512,466.8300295,464.0610078,461.2919861,458.5229644,455.7539427,452.984921,450.2158993,447.4468776,444.6778559,441.9088342,439.2773755
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587.7430189,587.0918906,585.9654924,584.8518741,584.08331,583.314746,582.5461819,581.7776179,581.0090538,580.2404897,579.4719257,578.7033616,577.9347976,577.1662335,576.3976695,575.6291054,574.8605413,574.0919773,573.3234132,572.5548492,571.7862851,571.0177211,570.249157,569.480593,568.7120289,567.8962592,565.8059369,564.6316739,563.6100876,562.5885012,561.5669148,560.5453284,559.5237421,558.5021557,557.4805693,556.458983,554.6884957,551.919474,549.1504523,546.3814306,543.6124089,540.8433872,538.0743656,535.3053439,532.5363222,529.7673005,526.9982788,524.2292571,521.4602354,518.6912137,515.922192,513.1531703,510.3841486,507.6151269,504.8461052,502.0770835,499.3080618,496.5390401,493.7700184,491.0009967,488.231975,485.4629533,482.6939316,479.9249099,477.1558882,474.3868666,471.6178449,468.8488232,466.0798015,463.3107798,460.5417581,457.7727364,455.0037147,452.234693,449.6949429,447.2469015,444.7988601,442.3508188,439.9027774
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.8493945,587.9409224,589.0324504,588.3813221,587.2549239,586.1285258,585.0021276,583.8757295,582.9410281,582.1724641,581.4039,580.635336,579.8667719,579.0982079,578.3296438,577.5610798,576.7925157,576.0239516,575.2553876,574.4868235,573.7182595,572.9496954,572.1811314,571.4125673,570.6440032,569.8754392,569.1068751,568.2911054,566.2007831,564.1104608,562.8598596,561.8382732,560.8166868,559.7951005,558.7735141,557.7519277,556.7303413,555.708755,553.9382677,551.169246,548.4002243,545.6312027,542.862181,540.0931593,537.3241376,534.5551159,531.7860942,529.0170725,526.2480508,523.4790291,520.7100074,517.9409857,515.171964,512.4029423,509.6339206,506.8648989,504.0958772,501.3268555,498.5578338,495.7888121,493.0197904,490.2507687,487.481747,484.7127253,481.9437037,479.174682,476.4056603,473.6366386,470.8676169,468.0985952,465.3295735,462.5605518,460.1125104,457.664469,455.2164276,452.7683862,450.3203448,447.8723034,445.424262,442.9762206,440.5281792
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587.047298,588.1388259,589.2303539,590.3218818,589.6707536,588.5443554,587.4179572,586.2915591,585.1651609,584.0387628,582.9123646,581.7987463,581.0301822,580.2616182,579.4930541,578.72449,577.955926,577.1873619,576.4187979,575.6502338,574.8816698,574.1131057,573.3445416,572.5759776,571.8074135,571.0388495,570.2702854,569.5017214,568.6859517,566.5956293,564.505307,562.4149847,561.0880452,560.0664588,559.0448725,558.0232861,557.0016997,555.9801133,554.958527,553.1880397,550.4190181,547.6499964,544.8809747,542.111953,539.3429313,536.5739096,533.8048879,531.0358662,528.2668445,525.4978228,522.7288011,519.9597794,517.1907577,514.421736,511.6527143,508.8836926,506.1146709,503.3456492,500.5766275,497.8076058,495.0385841,492.2695624,489.5005407,486.7315191,483.9624974,481.1934757,478.424454,475.6554323,472.9781192,470.5300778,468.0820364,465.633995,463.1859537,460.7379123,458.2898709,455.8418295,453.3937881,450.9457467,448.4977053,446.0496639,443.6016225,441.1535811
